,Code,Exchange,Name,Type,Country,Currency,ISIN,previousClose,previousCloseDate
0,1ST,AU,1stAvailable Ltd,Common Stock,Australia,AUD,AU0000001ST0,0.008,2022-07-21
1,TWOU,US,2U Inc,Common Stock,USA,USD,US90214J1016,11.36,2022-07-21
2,DDDX,US,3Dx Industries Inc,Common Stock,USA,USD,US88556A1007,0.061,2022-07-21
3,MMM,US,3M Company,Common Stock,USA,USD,US88579Y1010,133.95,2022-07-21
4,MMM,XETRA,3M Company,Common Stock,Germany,EUR,US88579Y1010,130.8,2022-07-21
5,MMM,F,3M Company,Common Stock,Germany,EUR,US88579Y1010,130.88,2022-07-21
6,MMM,SW,3M Company,Common Stock,Switzerland,CHF,US88579Y1010,145.0,2022-07-20
7,88E,LSE,88 Energy Ltd,Common Stock,UK,GBX,AU00000088E2,0.725,2022-07-21
8,88E,AU,88 Energy Ltd,Common Stock,Australia,AUD,AU00000088E2,0.012,2022-07-21
9,AMKBY,US,AP Moeller-Maersk AS,Common Stock,USA,USD,US00202F1021,12.63,2022-07-21
10,AMRK,US,Amark Preci,Common Stock,USA,USD,US00181T1079,29.52,2022-07-21
11,2018,HK,AAC Technologies Holdings Inc,Common Stock,Hong Kong,HKD,KYG2953R1149,15.94,2022-07-21
12,A2XN,F,AAC Technologies Holdings Inc,Common Stock,Germany,EUR,KYG2953R1149,1.9705,2022-07-21
13,2686,HK,AAG Energy Holdings Ltd,Common Stock,Hong Kong,HKD,KYG000371040,1.43,2022-07-21
14,AAON,US,AAON Inc,Common Stock,USA,USD,US0003602069,57.63,2022-07-21
15,AAALY,US,Aareal Bank AG ADR,Common Stock,USA,USD,US00254K1088,35.3,2022-07-21
16,AARON,NSE,Aaron Industries Limited,Common Stock,India,INR,INE721Z01010,121.3,2022-07-21
17,AARTIDRUGS,NSE,Aarti Drugs Limited,Common Stock,India,INR,INE767A01016,439.55,2022-07-21
18,AARTIDRUGS,BSE,AARTI DRUGS LTD.,Common Stock,India,INR,INE767A01016,438.9,2022-07-21
19,AARTIIND,NSE,Aarti Industries Limited,Common Stock,India,INR,INE769A01020,777.5,2022-07-21
20,AARTIIND,BSE,AARTI INDUSTRIES LTD.,Common Stock,India,INR,INE769A01020,777.55,2022-07-21
21,AAVAS,NSE,Aavas Financiers Limited,Common Stock,India,INR,INE216P01012,2256.35,2022-07-21
