,EOD_Code,EOD_Exchange,EOD_Name,EOD_Type,EOD_Country,EOD_Currency,EOD_ISIN,EOD_previousClose,EOD_previousCloseDate,Origin_Stock,Origin_Name,Origin_Country,list_isin_2,country_by_isin
0,1ST,AU,1stAvailable Ltd,Common Stock,Australia,AUD,AU0000001ST0,0.01,2022-08-04,1ST,1ST GROUP LTD,Australia,AU,Australia
1,TWOU,US,2U Inc,Common Stock,USA,USD,US90214J1016,9.36,2022-08-03,TWOU,2U INC,United States of America,US,USA
2,DDDX,US,3Dx Industries Inc,Common Stock,USA,USD,US88556A1007,0.061,2022-08-03,DDDX,3DX INDUSTRIES INC,United States of America,US,USA
3,MMM,US,3M Company,Common Stock,USA,USD,US88579Y1010,143.49,2022-08-03,MMM,3M CO,Mexico,US,USA
4,88E,AU,88 Energy Ltd,Common Stock,Australia,AUD,AU00000088E2,0.012,2022-08-04,88E,88 ENERGY LTD,United Kingdom,AU,Australia
5,AMKBY,US,AP Moeller-Maersk AS,Common Stock,USA,USD,US00202F1021,14.57,2022-08-03,AMKBY,A P MOLLER-MAERSK-B-UNSP ADR,United States of America,US,USA
6,AMRK,US,Amark Preci,Common Stock,USA,USD,US00181T1079,32.41,2022-08-03,AMRK,A-MARK PRECIOUS METALS INC,United States of America,US,USA
7,2018,HK,AAC Technologies Holdings Inc,Common Stock,Hong Kong,HKD,KYG2953R1149,14.84,2022-08-04,2018,AAC TECHNOLOGIES HOLDINGS IN,Hong Kong,KY,Hong Kong
8,2686,HK,AAG Energy Holdings Ltd,Common Stock,Hong Kong,HKD,KYG000371040,1.41,2022-08-04,2686,AAG ENERGY HOLDINGS LTD,Hong Kong,KY,Hong Kong
9,AAON,US,AAON Inc,Common Stock,USA,USD,US0003602069,61.58,2022-08-03,AAON,AAON INC,United States of America,US,USA
10,AAALY,US,Aareal Bank AG ADR,Common Stock,USA,USD,US00254K1088,35.3,2022-08-02,AAALY,AAREAL BANK AG-UNSPON ADR,United States of America,US,USA
11,AARON,NSE,Aaron Industries Limited,Common Stock,India,INR,INE721Z01010,125.55,2022-08-03,AARON,AARON INDUSTRIES LTD,India,IN,India
12,AARTIIND,NSE,Aarti Industries Limited,Common Stock,India,INR,INE769A01020,810.7,2022-08-03,AARTIIND,AARTI INDUSTRIES LIMITED,India,IN,India
13,AARTIIND,BSE,AARTI INDUSTRIES LTD.,Common Stock,India,INR,INE769A01020,811.1,2022-08-03,AARTIIND,AARTI INDUSTRIES LIMITED,India,IN,India
14,AAVAS,NSE,Aavas Financiers Limited,Common Stock,India,INR,INE216P01012,2308.85,2022-08-03,AAVAS,AAVAS FINANCIERS LTD,India,IN,India
15,AAVAS,BSE,AAVAS Financiers Ltd,Common Stock,India,INR,INE216P01012,2309.55,2022-08-03,AAVAS,AAVAS FINANCIERS LTD,India,IN,India
16,ABDP,LSE,Ab Dynamics,Common Stock,UK,GBX,GB00B9GQVG73,1240,2022-08-03,ABDP,AB DYNAMICS PLC,United Kingdom,GB,UK
17,ABQQ,US,AB International Group Corp,Common Stock,USA,USD,US00083U2024,0.0056,2022-08-03,ABQQ,AB INTERNATIONAL GROUP CORP,United States of America,US,USA
18,ABP,AU,Abacus Property Group,Common Stock,Australia,AUD,AU000000ABP9,2.87,2022-08-04,ABP,ABACUS PROPERTY GROUP,Australia,AU,Australia
19,ABAN,NSE,Aban Offshore Limited,Common Stock,India,INR,INE421A01028,45.65,2022-08-03,ABAN,ABAN OFFSHORE LIMITED,India,IN,India
20,ABAN,BSE,ABAN OFFSHORE LTD.,Common Stock,India,INR,INE421A01028,45.6,2022-08-03,ABAN,ABAN OFFSHORE LIMITED,India,IN,India
21,ATTBF,US,Abattis Bioceuticals Corp,Common Stock,USA,USD,CA00258G1037,0,2022-08-02,ATTBF,ABATTIS BIOCEUTICALS CORP,United States of America,CA,Canada
22,ABB,NSE,ABB India Limited,Common Stock,India,INR,INE117A01022,2671.6,2022-08-03,ABB,ABB INDIA LTD,India,IN,India
23,ABB,BSE,ABB India Limited,Common Stock,India,INR,INE117A01022,2670.3,2022-08-03,ABB,ABB INDIA LTD,India,IN,India
24,ABBV,US,AbbVie Inc,Common Stock,USA,USD,US00287Y1091,141.2,2022-08-03,ABBV,ABBVIE INC,Mexico,US,USA
25,ABBY,US,Abby Inc,Common Stock,USA,USD,US00287T3086,0,2022-08-02,ABBY,ABBY INC,United States of America,US,USA
26,2670,TSE,ABC-Mart Inc,Common Stock,Japan,JPY,JP3152740001,5740,2022-08-04,2670,ABC-MART INC,Japan,JP,Japan
27,ABCE,US,ABCO Energy Inc,Common Stock,USA,USD,US00287V4023,0.0055,2022-08-03,ABCE,ABCO ENERGY INC,United States of America,US,USA
28,ABNAF,US,Aben Resources Ltd,Common Stock,USA,USD,CA00289T3064,0.0284,2022-08-02,ABNAF,ABEN RESOURCES LTD,United States of America,CA,Canada
29,ASL,LSE,Aberforth Smaller Companies Trust PLC,Common Stock,UK,GBX,GB0000066554,1262,2022-08-03,ASL,ABERFORTH SMALLER COS-ORD,United Kingdom,GB,UK
30,ASIZ,LSE,Aberforth Split Level Income Trust PLC,Common Stock,UK,GBX,GB00BYPBD519,116,2022-08-03,ASIZ,ABERFORTH SPLIT LEVEL INCOME,United Kingdom,GB,UK
