new_index,figi,name,ticker,exchCode,compositeFIGI,securityType,marketSector,shareClassFIGI,securityType2,securityDescription,uniqueID,uniqueIDFutOpt
0,BBG008HNLRF4,1ST GROUP LTD,1ST,AU,BBG008HNLRF4,Common Stock,Equity,BBG008HNLRG3,Common Stock,1ST,,
1,BBG001KS9450,2U INC,TWOU,US,BBG001KS9450,Common Stock,Equity,BBG001V0RR30,Common Stock,TWOU,,
2,BBG000C129N6,3DX INDUSTRIES INC,DDDX,US,BBG000C129N6,Common Stock,Equity,BBG001STRH79,Common Stock,DDDX,,
3,BBG000BP52R2,3M CO,MMM,US,BBG000BP52R2,Common Stock,Equity,BBG001S5T7X2,Common Stock,MMM,,
4,BBG000BWTTK9,88 ENERGY LTD,POQ,GR,BBG000BWTTK9,Common Stock,Equity,BBG001SCV1F7,Common Stock,POQ,,
5,BBG0073FB9K3,A CLASSIFIED AD INC,AQFD,US,BBG0073FB9K3,Common Stock,Equity,BBG0073FB9L2,Common Stock,AQFD,,
6,BBG000PNF9F9,A P MOLLER-MAERSK-B-UNSP ADR,AMKBY,US,BBG000PNF9F9,ADR,Equity,BBG001T3PMB1,Depositary Receipt,AMKBY,,
7,BBG000JZMKC9,A TOUTE VITESSE-ATV,MLATV,FP,BBG000JZMJG8,Common Stock,Equity,BBG001SJDS90,Common Stock,MLATV,,
8,BBG005ZVDK48,A-MARK PRECIOUS METALS INC,AMRK,US,BBG005ZVDK48,Common Stock,Equity,BBG005ZVDK57,Common Stock,AMRK,,
9,,,,,,,,,,,,
10,BBG000C162Q4,AAC TECHNOLOGIES HOLDINGS IN,A2XN,GR,BBG000C162Q4,Common Stock,Equity,BBG001SKMWN2,Common Stock,A2XN,,
11,BBG009CXGZ63,AAG ENERGY HOLDINGS LTD,2686,HK,BBG009CXGZ45,Common Stock,Equity,BBG009CXGZ54,Common Stock,2686,,
12,BBG000C2LZP3,AAON INC,AAON,US,BBG000C2LZP3,Common Stock,Equity,BBG001S6CZK0,Common Stock,AAON,,
13,BBG002628DF1,AAREAL BANK AG-UNSPON ADR,AAALY,US,BBG002628DF1,ADR,Equity,BBG002628F57,Depositary Receipt,AAALY,,
14,BBG00LSL0YH3,AARON INDUSTRIES LTD,AARON,IN,BBG00LSL0YH3,Common Stock,Equity,BBG00LSL0YN6,Common Stock,AARON,,
