new_index,longName,marketName,secIdList,Origin_Name,Origin_Stock,Origin_Country
0,1ST GROUP LTD,1ST,AU0000001ST0,1ST GROUP LTD,1ST,Australia
1,2U INC,NMS,US90214J1016,2U INC,TWOU,United States of America
2,3DX INDUSTRIES INC,CURRENT,US88556A1007,3DX INDUSTRIES INC,DDDX,United States of America
3,3M CO,MMM,US88579Y1010,3M CO,MMM,Mexico
4,88 ENERGY LTD,88E,AU00000088E2,88 ENERGY LTD,88E,United Kingdom
5,A CLASSIFIED AD INC,AQFD,US00089Y1091,A CLASSIFIED AD INC,AQFD,
6,A P MOLLER-MAERSK-B-UNSP ADR,LIMITED,US00202F1021,A P MOLLER-MAERSK-B-UNSP ADR,AMKBY,United States of America
7,A TOUTE VITESSE-ATV,MLATV,FR0010050773,A TOUTE VITESSE-ATV,MLATV,France
8,A-MARK PRECIOUS METALS INC,NMS,US00181T1079,A-MARK PRECIOUS METALS INC,AMRK,United States of America
9,A-TEC INDUSTRIES AG,AKH,AT0000A1ZH55,A-TEC INDUSTRIES AG,AKH,
10,AAC TECHNOLOGIES HOLDINGS IN,2018,KYG2953R1149,AAC TECHNOLOGIES HOLDINGS IN,2018,Hong Kong
11,AAG ENERGY HOLDINGS LTD,2686,KYG000371040,AAG ENERGY HOLDINGS LTD,2686,Hong Kong
12,AAON INC,NMS,US0003602069,AAON INC,AAON,United States of America
13,AAREAL BANK AG-UNSPON ADR,CURRENT,US00254K1088,AAREAL BANK AG-UNSPON ADR,AAALY,United States of America
14,AARON INDUSTRIES LTD,AARON,INE721Z01010,AARON INDUSTRIES LTD,AARON,India
15,AARTI DRUGS LIMITED,AARTIDRUG,INE767A01016,AARTI DRUGS LIMITED,AARTIDRUG,India
16,AARTI INDUSTRIES LIMITED,AARTIIND,INE769A01020,AARTI INDUSTRIES LIMITED,AARTIIND,India
17,AAVAS FINANCIERS LTD,AAVAS,INE216P01012,AAVAS FINANCIERS LTD,AAVAS,India
18,AB DYNAMICS PLC,ASQ1,GB00B9GQVG73,AB DYNAMICS PLC,ABDP,United Kingdom
19,AB INTERNATIONAL GROUP CORP,CURRENT,US00083U2024,AB INTERNATIONAL GROUP CORP,ABQQ,United States of America
20,AB&T FINANCIAL CORP,CURRENT,US00037W1062,AB&T FINANCIAL CORP,ABTO,United States of America
21,ABACUS PROPERTY GROUP,ABP,AU000000ABP9,ABACUS PROPERTY GROUP,ABP,Australia
22,ABAKAN INC,ABKI,US00258J1079,ABAKAN INC,ABKI,
23,ABAN OFFSHORE LIMITED,ABAN,INE421A01028,ABAN OFFSHORE LIMITED,ABAN,India
24,ABATTIS BIOCEUTICALS CORP,NOINFO,CA00258G1037,ABATTIS BIOCEUTICALS CORP,ATTBF,United States of America
25,ABAXIS INC,ABAX,US0025671050,ABAXIS INC,ABAX,
26,ABB INDIA LTD,ABB,INE117A01022,ABB INDIA LTD,ABB,India
27,ABBA MEDIX GROUP INC,ABA,CA00258L1022,ABBA MEDIX GROUP INC,ABA,Canada
