new_index,OpenFIGI_figi,OpenFIGI_name,OpenFIGI_ticker,OpenFIGI_exchCode,OpenFIGI_compositeFIGI,OpenFIGI_securityType,OpenFIGI_marketSector,OpenFIGI_shareClassFIGI,OpenFIGI_securityType2,OpenFIGI_securityDescription,OpenFIGI_uniqueID,OpenFIGI_uniqueIDFutOpt,IB_longName,IB_marketName,IB_secIdList,Origin_Name,Origin_Stock,Origin_Country
0,BBG008HNLRF4,1ST GROUP LTD,1ST,AU,BBG008HNLRF4,Common Stock,Equity,BBG008HNLRG3,Common Stock,1ST,,,1ST GROUP LTD,1ST,AU0000001ST0,1ST GROUP LTD,1ST,Australia
1,BBG001KS9450,2U INC,TWOU,US,BBG001KS9450,Common Stock,Equity,BBG001V0RR30,Common Stock,TWOU,,,2U INC,NMS,US90214J1016,2U INC,TWOU,United States of America
2,BBG000C129N6,3DX INDUSTRIES INC,DDDX,US,BBG000C129N6,Common Stock,Equity,BBG001STRH79,Common Stock,DDDX,,,3DX INDUSTRIES INC,CURRENT,US88556A1007,3DX INDUSTRIES INC,DDDX,United States of America
3,BBG000BP52R2,3M CO,MMM,US,BBG000BP52R2,Common Stock,Equity,BBG001S5T7X2,Common Stock,MMM,,,3M CO,MMM,US88579Y1010,3M CO,MMM,Mexico
4,BBG000BWTTK9,88 ENERGY LTD,POQ,GR,BBG000BWTTK9,Common Stock,Equity,BBG001SCV1F7,Common Stock,POQ,,,88 ENERGY LTD,88E,AU00000088E2,88 ENERGY LTD,88E,United Kingdom
5,BBG0073FB9K3,A CLASSIFIED AD INC,AQFD,US,BBG0073FB9K3,Common Stock,Equity,BBG0073FB9L2,Common Stock,AQFD,,,A CLASSIFIED AD INC,AQFD,US00089Y1091,A CLASSIFIED AD INC,AQFD,
6,BBG000PNF9F9,A P MOLLER-MAERSK-B-UNSP ADR,AMKBY,US,BBG000PNF9F9,ADR,Equity,BBG001T3PMB1,Depositary Receipt,AMKBY,,,A P MOLLER-MAERSK-B-UNSP ADR,LIMITED,US00202F1021,A P MOLLER-MAERSK-B-UNSP ADR,AMKBY,United States of America
7,BBG000JZMKC9,A TOUTE VITESSE-ATV,MLATV,FP,BBG000JZMJG8,Common Stock,Equity,BBG001SJDS90,Common Stock,MLATV,,,A TOUTE VITESSE-ATV,MLATV,FR0010050773,A TOUTE VITESSE-ATV,MLATV,France
8,BBG005ZVDK48,A-MARK PRECIOUS METALS INC,AMRK,US,BBG005ZVDK48,Common Stock,Equity,BBG005ZVDK57,Common Stock,AMRK,,,A-MARK PRECIOUS METALS INC,NMS,US00181T1079,A-MARK PRECIOUS METALS INC,AMRK,United States of America
9,,,,,,,,,,,,,A-TEC INDUSTRIES AG,AKH,AT0000A1ZH55,A-TEC INDUSTRIES AG,AKH,
