,marketName,longName,isin
0,1ST,1ST GROUP LTD,AU0000001ST0
0,NMS,2U INC,US90214J1016
0,DDDX,3DX INDUSTRIES INC,US88556A1007
0,MMM,3M CO,US88579Y1010
0,88E,88 ENERGY LTD,AU00000088E2
0,AQFD,A CLASSIFIED AD INC,US00089Y1091
0,LIMITED,A P MOLLER-MAERSK-B-UNSP ADR,US00202F1021
0,MLATV,A TOUTE VITESSE-ATV,FR0010050773
0,NMS,A-MARK PRECIOUS METALS INC,US00181T1079
0,AKH,A-TEC INDUSTRIES AG,AT0000A1ZH55
0,2018,AAC TECHNOLOGIES HOLDINGS IN,KYG2953R1149
1,2686,AAG ENERGY HOLDINGS LTD,KYG000371040
0,NMS,AAON INC,US0003602069
0,CURRENT,AAREAL BANK AG-UNSPON ADR,US00254K1088
0,AARON,AARON INDUSTRIES LTD,INE721Z01010
0,AARTIDRUG,AARTI DRUGS LIMITED,INE767A01016
0,AARTIIND,AARTI INDUSTRIES LIMITED,INE769A01020
0,AAVAS,AAVAS FINANCIERS LTD,INE216P01012
0,ASQ1,AB DYNAMICS PLC,GB00B9GQVG73
0,ABQQ,AB INTERNATIONAL GROUP CORP,US00083U2024
0,ABTO,AB&T FINANCIAL CORP,US00037W1062
0,ABP,ABACUS PROPERTY GROUP,AU000000ABP9
0,ABKI,ABAKAN INC,US00258J1079
0,ABAN,ABAN OFFSHORE LIMITED,INE421A01028
0,NOINFO,ABATTIS BIOCEUTICALS CORP,CA00258G1037
0,ABAX,ABAXIS INC,US0025671050
25,ABB,ABB INDIA LTD,INE117A01022
26,ABB,ABB INDIA LTD,INE117A01022
8,ABA,ABBA MEDIX GROUP INC,CA00258L1022
0,ABBOTINDI,ABBOTT INDIA LTD,INE358A01014
0,ABBV,ABBVIE INC,US00287Y1091
0,NOINFO,ABBY INC,US00287T3086
0,2670,ABC-MART INC,JP3152740001
0,CURRENT,ABCO ENERGY INC,US00287V4023
0,CURRENT,ABCOURT MINES INC -CL B,CA00288E3005
0,CURRENT,ABEN RESOURCES LTD,CA00289T3064
0,SCM,ABEONA THERAPEUTICS INC,US00289Y2063
0,GCH,ABERDEEN GREATER CHINA FUND,US0030311015
6,IF,ABERDEEN INDONESIA FUND INC,US00305P1066
0,CURRENT,ABERDEEN INTERNATIONAL INC.,CA0030691012
0,ISL,ABERDEEN ISRAEL FUND INC,US00301L1098
3,ANW,ABERDEEN NEW THAI INV TR-ORD,GB0000059971
0,STMM,ABERFORTH SMALLER COS-ORD,GB0000066554
0,SSQ3,ABERFORTH SPLIT LEVEL INCOME,GB00BYPBD519
